
// =========================================================================================================
// 2024-10-24, 14:45:56
//        Time [s]        Pos X [um]        Pos Y [um]        Pos Z [um]      Force A [uN]      Force B [uN]
// =========================================================================================================
           2.89000           0.06400           0.00300       -3796.83100          -0.45493           0.07834
           2.90000           0.06300           0.00300       -3796.83100          -0.90119           0.07834
           2.91000           0.06400           0.00300       -3796.83100          -1.28370          -0.08087
           2.92000           0.06400           0.00300       -3796.83200          -1.41121           0.00192
           2.93000           0.06400           0.00300       -3796.83200          -0.26368           0.09108
           2.94000           0.06300           0.00300       -3796.83100          -1.66621          -0.09997
           2.95000           0.06400           0.00300       -3796.83100          -1.09245          -0.08723
           2.96000           0.06400           0.00300       -3796.83100          -1.41121           0.00829
           2.97000           0.06400           0.00300       -3796.83100          -0.77369           0.04013
           2.98000           0.06400           0.00200       -3796.83100          -2.11248           0.00192
           2.99000           0.06300           0.00200       -3796.83100          -0.77369          -0.00445
           3.00000           0.06400           0.00200       -3796.83100          -1.72997          -0.08087
           3.01000           0.06300           0.00300       -3796.83100          -0.51868           0.04013
           3.02000           0.06300           0.00300       -3796.83100          -1.47496          -0.03629
           3.03000           0.06300           0.00200       -3796.83100          -0.70994           0.02740
           3.04000           0.06400           0.00200       -3796.83100          -1.98497          -0.01718
           3.05000           0.06400           0.00300       -3796.83100          -1.09245          -0.06176
           3.06000           0.06400           0.00300       -3796.83100          -0.51868           0.01466
           3.07000           0.06300           0.00300       -3796.83100          -1.02870           0.06561
           3.08000           0.06300           0.00300       -3796.83100          -1.21995          -0.04266
           3.09000           0.06400           0.00300       -3796.83100          -1.79372          -0.04902
           3.10000           0.06400           0.00200       -3796.83100          -1.85747          -0.01081
           3.11000           0.06400           0.00300       -3796.83100          -1.60246          -0.09997
           3.12000           0.06400           0.00300       -3796.83100          -1.21995          -0.04902
           3.13000           0.06400           0.00300       -3796.83100          -2.04872          -0.06176
           3.14000           0.06400           0.00300       -3796.83100          -0.00867           0.03377
           3.15000           0.06400           0.00300       -3796.83100          -1.09245           0.06561
           3.16000           0.06400           0.00300       -3796.83100          -0.45493          -0.02355
           3.17000           0.06400           0.00200       -3796.83100          -1.28370          -0.01718
           3.18000           0.06400           0.00200       -3796.83100          -0.00867           0.07834
           3.19000           0.06400           0.00300       -3796.83100          -1.60246           0.00829
           3.20000           0.06400           0.00300       -3796.83100          -1.98497          -0.04266
           3.21000           0.06400           0.00200       -3796.83100          -1.15620           0.03377
           3.22000           0.06400           0.00300       -3796.83100          -0.77369          -0.04266
           3.23000           0.06400           0.00300       -3796.83200          -1.66621          -0.08723
           3.24000           0.06400           0.00200       -3796.83100          -1.53871          -0.10634
           3.25000           0.06400           0.00300       -3796.83100          -1.21995           0.00192
           3.26000           0.06400           0.00300       -3796.83100          -0.19993           0.07198
           3.27000           0.06400           0.00300       -3796.83100          -0.51868           0.11656
           3.28000           0.06400           0.00300       -3796.83100          -1.66621          -0.09997
           3.29000           0.06400           0.00300       -3796.83100          -1.21995           0.05287
           3.30000           0.06400           0.00300       -3796.83100          -0.26368          -0.01718
           3.31000           0.06400           0.00300       -3796.83100          -1.09245          -0.06813
           3.32000           0.06400           0.00300       -3796.83100          -0.77369           0.06561
           3.33000           0.06400           0.00300       -3796.83100          -1.60246          -0.06176
           3.34000           0.06300           0.00400       -3796.83100          -1.66621          -0.01081
           3.35000           0.06300           0.00300       -3796.83100          -1.28370           0.02740
           3.36000           0.06400           0.00300       -3796.83100          -1.41121           0.00829
           3.37000           0.06400           0.00300       -3796.83200          -2.04872          -0.07450
           3.38000           0.06400           0.00300       -3796.83200          -1.53871           0.01466
           3.39000           0.06400           0.00300       -3796.83100          -1.47496          -0.08087
           3.40000           0.06300           0.00300       -3796.83100          -0.00867           0.01466
           3.41000           0.06400           0.00300       -3796.83200          -1.79372          -0.06176
           3.42000           0.06400           0.00300       -3796.83100          -1.09245          -0.06176
           3.43000           0.06400           0.00300       -3796.83100          -1.09245           0.06561
           3.44000           0.06400           0.00300       -3796.83100          -1.92122          -0.01718
           3.45000           0.06300           0.00300       -3796.83200          -0.51868           0.08471
           3.46000           0.06300           0.00300       -3796.83100          -0.19993          -0.00445
           3.47000           0.06400           0.00300       -3796.83100          -1.28370           0.04013
           3.48000           0.06400           0.00200       -3796.83100          -1.02870          -0.01081
           3.49000           0.06300           0.00300       -3796.83100          -1.15620          -0.07450
           3.50000           0.06300           0.00300       -3796.83100          -0.45493           0.07834
           3.51000           0.06400           0.00300       -3796.83100          -1.09245          -0.11908
           3.52000           0.06400           0.00300       -3796.83200          -1.21995           0.08471
           3.53000           0.06400           0.00300       -3796.83100          -0.83744           0.05287
           3.54000           0.06400           0.00300       -3796.83100          -1.47496          -0.06813
           3.55000           0.06400           0.00300       -3796.83100          -0.58244           0.07198
           3.56000           0.06400           0.00300       -3796.83200          -0.45493           0.03377
           3.57000           0.06400           0.00300       -3796.83100          -1.53871          -0.07450
           3.58000           0.06400           0.00300       -3796.83100          -1.34746           0.05924
           3.59000           0.06400           0.00300       -3796.83100          -1.98497          -0.08723
           3.60000           0.06400           0.00400       -3796.83100          -0.13617           0.05287
           3.61000           0.06400           0.00300       -3796.83100          -1.85747          -0.05539
           3.62000           0.06400           0.00300       -3796.83100          -1.28370          -0.09997
           3.63000           0.06400           0.00300       -3796.83100          -1.60246          -0.01718
           3.64000           0.06300           0.00300       -3796.83100          -1.21995          -0.07450
           3.65000           0.06300           0.00300       -3796.83100          -1.53871          -0.04266
           3.66000           0.06300           0.00300       -3796.83100          -0.19993          -0.02355
           3.67000           0.06400           0.00300       -3796.83100          -0.96495           0.06561
           3.68000           0.06400           0.00300       -3796.83100          -1.47496          -0.01081
           3.69000           0.06400           0.00400       -3796.83100          -0.51868           0.06561
           3.70000           0.06400           0.00300       -3796.83100          -0.64619          -0.01718
           3.71000           0.06400           0.00300       -3796.83100          -1.60246          -0.06813
           3.72000           0.06400           0.00300       -3796.83100          -0.58244           0.05287
           3.73000           0.06400           0.00300       -3796.83200          -0.83744           0.04013
           3.74000           0.06400           0.00300       -3796.83000          -2.30373          -0.02992
           3.75000           0.06300           0.00300       -3796.83100          -1.09245          -0.08087
           3.76000           0.06300           0.00300       -3796.83100          -1.15620          -0.01081
           3.77000           0.06300           0.00300       -3796.83100          -1.47496          -0.04902
           3.78000           0.06300           0.00300       -3796.83100          -0.90119          -0.04902
           3.79000           0.06400           0.00300       -3796.83100          -1.85747          -0.04266
           3.80000           0.06300           0.00300       -3796.83100          -0.13617           0.06561
           3.81000           0.06300           0.00300       -3796.83100          -1.85747          -0.06176
           3.82000           0.06300           0.00300       -3796.83100           0.31009           0.04650
           3.83000           0.06300           0.00400       -3796.83000          -1.09245           0.01466
           3.84000           0.06300           0.00300       -3796.83100          -0.77369           0.05924
           3.85000           0.06300           0.00300       -3796.83100          -1.79372          -0.01081
           3.86000           0.06300           0.00300       -3796.83100          -0.45493           0.00829
           3.87000           0.06300           0.00300       -3796.83000          -0.77369           0.07198
           3.88000           0.06300           0.00300       -3796.83000          -1.53871          -0.01081
           3.89000           0.06300           0.00300       -3796.83000          -0.83744           0.03377
